"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"885","29","23",0.12742353346553,0.047754075728943,-0.244560919947458,0.112037545035491,4,8.49e-05,3.23e-10,37.73619421,0.22,0.35659846498295,-0.0796694577365868,10.374036464647,22.8533687927059
"886","30","23",0.114906935381059,0.047754075728943,-0.143855496859074,0.112037545035491,4,8.49e-05,4.02e-10,33.06228357,0.084,0.255893041894566,-0.0671528596521165,10.374036464647,22.6345690273095
"887","31","23",0.821754173337599,0.047754075728943,-0.0578596414499133,0.112037545035491,10,1.36e-05,7.37e-29,461.7852947,0.072,0.169897186485405,-0.774000097608657,12.2054407652223,65.7775499906261
"888","32","23",0.655601277818623,0.047754075728943,-0.167101115696014,0.112037545035491,3,2.22e-05,6.48e-10,363.92725,0.058,0.279138660731505,-0.60784720208968,11.715418269086,22.1571304195763
"889","33","23",1.145615550716,0.047754075728943,0.139926842349889,0.112037545035491,15,2.31e-11,1.15e-40,661.7770002,0.041,-0.0278892973143974,-1.09786147498706,25.4911884984008,92.9636417773867
"890","34","23",1.16694139725991,0.047754075728943,0.0478894831728795,0.112037545035491,15,2.31e-11,2.27e-41,672.9759485,0.027,0.0641480618626118,-1.11918732153096,25.4911884984008,94.5862089812626
"891","35","23",1.14789400633186,0.047754075728943,-0.0123349438923604,0.112037545035491,15,2.31e-11,2.4e-41,660.1674993,0.029,0.124372488927852,-1.10013993060291,25.4911884984008,94.530520075402
"892","36","23",1.18870919700706,0.047754075728943,-0.0959718848445982,0.112037545035491,15,2.31e-11,1.93e-41,683.2377757,0.055,0.20800942988009,-1.14095512127812,25.4911884984008,94.7484688098391
"893","37","23",1.15391415637257,0.047754075728943,-0.0587310981533737,0.112037545035491,15,2.31e-11,2.13e-40,662.7614778,0.024,0.170768643188865,-1.10616008064362,25.4911884984008,92.3472817400405
"894","38","23",1.142225733093,0.047754075728943,0.183742766501133,0.112037545035491,14,2.31e-11,8.86e-40,660.1219987,0.024,-0.0717052214656419,-1.09447165736406,25.4911884984008,90.9218569551448
"895","40","23",1.29068691289919,0.047754075728943,-1.51991806650458,0.112037545035491,16,2.31e-11,3.14e-45,741.5130792,0.071,1.63195561154008,-1.24293283717024,25.4911884984008,103.472106384812
"896","42","23",1.21780161960289,0.047754075728943,-0.0571917330639433,0.112037545035491,15,2.31e-11,7.36e-41,701.0947654,0.065,0.169229278099435,-1.17004754387395,25.4911884984008,93.4099288800151
"897","43","23",1.1212900077602,0.047754075728943,-1.84190094670069,0.112037545035491,17,2.31e-11,1.25e-48,654.9027119,0.064,1.95393849173618,-1.07353593203126,25.4911884984008,111.3009409124
"898","1","25",-1.42734723860918,-0.0638785506198568,0.847584253071381,-0.655435417458152,6,6.06e-06,1.82e-16,880.3637445,0.66,-1.50301967052953,1.36346868798932,13.0138007578831,37.242524986816
"899","2","25",-1.25268966863477,-0.0638785506198568,1.39284430599047,-0.655435417458152,7,6.06e-06,3.53e-18,803.2623785,0.329,-2.04827972344862,1.18881111801491,13.0138007578831,41.1852338029476
"900","3","25",-1.19176302782223,-0.0638785506198568,0.834217940358819,-0.655435417458152,8,6.06e-06,1.77e-20,734.2658361,0.23,-1.48965335781697,1.12788447720237,13.0138007578831,46.4807223132952
"901","4","25",-1.21658172638856,-0.0638785506198568,0.590864438510349,-0.655435417458152,8,6.06e-06,1.35e-22,742.4755426,0.365,-1.2462998559685,1.15270317576871,13.0138007578831,51.3567674534187
"902","5","25",-1.13964563546912,-0.0638785506198568,0.381142327287051,-0.655435417458152,7,3.79e-06,2.27e-15,682.5233279,0.427,-1.0365777447452,1.07576708484927,13.4831445388699,34.7189965634174
"903","6","25",-0.0475172237111069,-0.0638785506198568,-0.328177831624205,-0.655435417458152,1,0.002238898,0.0112375,38.49815776,0.451,-0.327257585833946,-0.0163613269087499,7.10177149845504,5.4884988791844
"904","7","25",-0.0112932890674335,-0.0638785506198568,-0.179756798483868,-0.655435417458152,2,0.002238898,0.00257304,55.11730671,0.347,-0.475678618974284,-0.0525852615524233,7.10177149845504,6.96266719974818
"905","8","25",-0.67565149954662,-0.0638785506198568,0.395102965777359,-0.655435417458152,4,0.00102764,9.51e-07,451.4316055,0.493,-1.05053838323551,0.611772948926763,7.88049036783412,14.865751774401
"906","9","25",-0.67054960071222,-0.0638785506198568,0.370370996099423,-0.655435417458152,4,0.000711765,2.67e-07,447.5059139,0.152,-1.02580641355757,0.606671050092363,8.2477627572126,16.1360171785462
"907","10","25",-0.67632090835051,-0.0638785506198568,0.196760156022134,-0.655435417458152,5,5.74e-05,4.43e-09,441.132788,0.44,-0.852195573480286,0.612442357730653,10.7654662546388,20.2348662528894
"908","11","25",-0.908300803911853,-0.0638785506198568,0.378304391267952,-0.655435417458152,5,0.000670814,2.03e-11,555.7264937,0.551,-1.0337398087261,0.844422253291996,8.30701865763074,25.6204002298808
"909","12","25",-0.663645544265017,-0.0638785506198568,0.153699181215904,-0.655435417458152,4,0.000165518,3.29e-09,431.8405591,0.644,-0.809134598674055,0.59976699364516,9.70643060773194,20.5323782721691
