"","edge_name","From","To","GeogDist","SSDist","reliable_path","max_flow"
"390","X11.9","11","9",141.3413993,3,1.23e-11,2.01e-08
"391","X11.10","11","10",136.1636935,3,1.69e-08,2.57e-06
"392","X11.12","11","12",142.4901802,3,1.36e-06,6.78e-06
"393","X11.14","11","14",121.1093646,4,4.1e-11,5.27e-08
"394","X11.16","11","16",124.7471302,3,1.52e-06,0.000129249
"395","X11.17","11","17",628.9618191,4,7.8e-09,0.000670814
"396","X11.18","11","18",637.4370424,4,1.1e-07,0.000670814
"397","X11.19","11","19",835.409027,4,1.34e-10,0.000670814
"398","X11.20","11","20",561.3608758,5,5.93e-11,0.000670814
"399","X11.21","11","21",541.7532642,4,4.1e-10,0.000670814
"400","X11.22","11","22",569.9783244,3,2.88e-09,7.15e-05
"401","X11.23","11","23",586.5180306,4,8.02e-11,0.00037054
"402","X11.25","11","25",555.7264937,5,2.03e-11,0.000670814
"403","X11.27","11","27",786.4520404,4,3.07e-09,0.000670814
"404","X11.28","11","28",584.9848614,4,6.64e-10,0.000670814
"405","X11.29","11","29",609.04359,4,8.92e-09,0.000670814
"406","X11.30","11","30",623.9866594,3,3.03e-08,0.000670814
"407","X11.31","11","31",1034.208192,6,1.83e-14,9.3e-05
"408","X11.32","11","32",932.0847106,4,2.34e-10,0.000670814
"409","X11.43","11","43",1246.47253,6,5.98e-14,0.000157401
"410","X13.6","13","6",626.3703667,4,2.53e-10,0.000456588
"411","X13.7","13","7",646.1501634,4,1.11e-11,0.000456588
"412","X13.8","13","8",220.3776735,3,1.09e-11,1.63e-08
"413","X13.9","13","9",226.3901995,3,1.09e-11,2.01e-08
"414","X13.10","13","10",222.3569716,3,1.04e-08,2.57e-06
"415","X13.11","13","11",82.12090588,3,1.71e-05,5.19e-07
"416","X13.12","13","12",228.8674697,3,2.33e-07,6.78e-06
"417","X13.14","13","14",205.2598146,4,3.62e-11,5.27e-08
"418","X13.16","13","16",210.8577494,3,1.34e-06,0.000129551
"419","X13.17","13","17",713.5410105,4,6.9e-09,0.000456588
"420","X13.18","13","18",722.2611315,4,9.72e-08,0.000456588
"421","X13.19","13","19",921.7528985,4,1.19e-10,0.000456588
"422","X13.20","13","20",644.512759,5,5.24e-11,0.000456588
"423","X13.21","13","21",625.9953045,4,2.71e-10,0.000456588
"424","X13.22","13","22",655.0434442,3,2.55e-09,7.15e-05
"425","X13.23","13","23",671.4904283,4,7.09e-11,0.00037054
"426","X13.25","13","25",637.0067854,5,1.8e-11,0.000456588
"427","X13.27","13","27",872.3934591,4,2.71e-09,0.000456588
"428","X13.28","13","28",668.447557,4,5.87e-10,0.000456588
"429","X13.29","13","29",693.056306,4,7.89e-09,0.000456588
"430","X13.30","13","30",709.2355975,3,2.68e-08,0.000456588
"431","X13.31","13","31",1120.614908,6,1.62e-14,9.3e-05
"432","X13.32","13","32",1018.507171,4,2.07e-10,0.000456588
"433","X13.33","13","33",1310.719954,7,9.69e-19,2.33e-06
"434","X13.43","13","43",1331.694681,6,5.29e-14,0.000157401
"435","X5.6","5","6",673.692422,6,3.07e-14,3.79e-06
"436","X5.10","5","10",275.3005318,5,3.74e-13,2.57e-06
"437","X5.11","5","11",134.5928296,3,1.12e-06,3.51e-06
"438","X5.12","5","12",281.6161284,5,2.05e-11,3.79e-06
"439","X5.15","5","15",63.72778019,3,1.18e-05,3.79e-06
"440","X5.16","5","16",263.857742,5,8.47e-10,3.79e-06
"441","X5.17","5","17",762.2016631,6,2.5e-13,3.79e-06
"442","X5.18","5","18",771.2149285,6,3.51e-12,3.79e-06
"443","X5.21","5","21",674.3502429,6,1.92e-13,3.79e-06
"444","X5.22","5","22",704.359129,5,6.79e-14,3.79e-06
"445","X5.25","5","25",682.5233279,7,2.27e-15,3.79e-06
"446","X5.27","5","27",923.0164121,6,9.81e-14,3.79e-06
"447","X5.28","5","28",715.9162912,6,2.12e-14,3.79e-06
"448","X5.29","5","29",741.0832743,6,2.85e-13,3.79e-06
"449","X5.30","5","30",758.760489,5,9.69e-13,3.79e-06
"450","X3.5","3","5",71.05686282,3,4.52e-09,3.67e-06
"451","X3.11","3","11",174.6425267,4,2.42e-11,5.22e-06
"452","X3.15","3","15",134.071919,4,7.31e-12,5.82e-06
"453","X4.5","4","5",63.20979669,3,3.45e-11,3.67e-06
"454","X4.11","4","11",185.4686645,4,1.85e-13,5.22e-06
"455","X4.15","4","15",129.6598863,4,8.69e-14,5.82e-06
"456","X2.3","2","3",80.28644887,4,5.22e-13,6.65e-07
"457","X2.4","2","4",96.34168299,3,6.23e-09,6.53e-06
"458","X2.5","2","5",159.0292234,5,6.32e-13,3.67e-06
"459","X2.8","2","8",354.8640433,5,2.24e-13,1.63e-08
"460","X2.9","2","9",361.8317464,4,7.4e-14,2.01e-08
"461","X2.11","2","11",246.2061344,4,6.75e-14,5.22e-06
"462","X2.13","2","13",180.4608372,5,1.43e-14,1.25e-09
"463","X2.14","2","14",339.9771109,5,4.46e-13,5.27e-08
"464","X2.15","2","15",221.414,5,2.2e-14,5.82e-06
"465","X2.16","2","16",354.3882489,5,1.39e-14,6.06e-06
"466","X1.2","1","2",107.866306,3,7.68e-11,9.83e-07
"467","X1.3","1","3",140.5709823,3,1.53e-09,6.65e-07
"468","X1.4","1","4",133.5771289,4,1.09e-10,6.53e-06
"469","X1.5","1","5",198.4000083,4,1.41e-11,3.67e-06
"470","X1.8","1","8",447.9539581,3,9.67e-12,1.63e-08
"471","X1.9","1","9",454.7880015,4,3.69e-11,2.01e-08
"472","X1.10","1","10",455.2849813,5,1.23e-14,2.57e-06
"473","X1.11","1","11",321.9773819,3,8.68e-11,5.22e-06
"474","X1.12","1","12",462.8327215,4,2.97e-12,6.06e-06
"475","X1.13","1","13",241.6833324,3,8.34e-12,1.25e-09
"476","X1.14","1","14",432.5922439,4,2.21e-10,5.27e-08
"477","X1.15","1","15",263.986917,4,6.46e-11,5.82e-06
"478","X1.16","1","16",443.7072628,4,1.06e-12,6.06e-06
"479","X1.18","1","18",963.3448912,5,1.15e-13,6.06e-06
"480","X1.22","1","22",895.7119548,5,1.4e-13,6.06e-06
"481","X1.30","1","30",949.4663517,4,3.18e-14,6.06e-06
