"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"246","18","13",1.12375399839346,0.207329504440185,-0.142965254169432,0.0280648143946437,12,2.31e-11,4.26e-34,412.9328165,0.219,0.171030068564076,-0.916424493953277,25.4911884984008,77.8386240015163
"247","19","13",1.30573879311643,0.207329504440185,-1.76250545731139,0.0280648143946437,18,2.31e-11,4.85e-47,518.2572591,0.312,1.79057027170603,-1.09840928867624,25.4911884984008,107.642520665771
"248","1","14",-1.93269390089566,0.881628379757234,1.73209740467106,0.0357526114966158,6,6.06e-06,2.14e-17,1324.000857,0.209,-1.69634479317444,2.8143222806529,13.0138007578831,39.383140751865
"249","2","14",-1.57127288083401,0.881628379757234,1.16424987627379,0.0357526114966158,6,3.79e-06,8.71e-17,1139.784807,0.224,-1.12849726477718,2.45290126059124,13.4831445388699,37.9794747900344
"250","3","14",-0.81779492222372,0.881628379757234,0.664534928932141,0.0357526114966158,4,0.001072573,2.21e-13,782.7700364,0.197,-0.628782317435525,1.69942330198095,7.83769484421037,30.1406136933929
"251","4","14",-0.498388624975441,0.881628379757234,0.309657056465821,0.0357526114966158,4,0.001071431,1.27e-11,625.8604644,0.217,-0.273904444969205,1.38001700473268,7.83876014083109,26.089419122464
"252","5","14",-1.47010984875349,0.881628379757234,1.06018359825244,0.0357526114966158,NA,0,0,1087.296682,0.185,-1.02443098675582,2.35173822851073,Inf,Inf
"253","6","14",-0.0842392633495934,0.881628379757234,0.70262472391694,0.0357526114966158,3,0.001071431,3.08e-07,440.0541559,0.19,-0.666872112420324,0.965867643106827,7.83876014083109,15.9931660539728
"254","7","14",-0.20978638087055,0.881628379757234,-0.199564643045108,0.0357526114966158,6,2.14e-06,2.29e-14,504.7292903,0.25,0.235317254541724,1.09141476062778,14.0547047289305,32.4076394843505
"255","8","14",-0.202425884912012,0.881628379757234,-0.187669473696846,0.0357526114966158,5,2.14e-06,2.11e-13,500.753776,0.132,0.223422085193461,1.08405426466925,14.0547047289305,30.1869182614346
"256","9","14",-0.0494297680917916,0.881628379757234,-0.452249945493855,0.0357526114966158,10,3.54e-11,4.48e-22,439.1059343,0.335,0.488002556990471,0.931058147849026,25.0643092957888,50.1572489994421
"257","10","14",-0.187354795965576,0.881628379757234,-0.175171357435347,0.0357526114966158,6,2.14e-06,5.1e-13,496.3255048,0.249,0.210923968931963,1.06898317572281,14.0547047289305,29.3043656691923
"258","11","14",0.573693835418848,0.881628379757234,-0.374444859925122,0.0357526114966158,2,0.000542774,0.001338059,137.4190047,0.32,0.410197471421737,0.307934544338386,8.51881753092972,7.61653522258311
"259","12","14",0.319866725673905,0.881628379757234,-0.540201395552134,0.0357526114966158,3,1.47e-05,1.59e-05,260.8841627,0.2,0.57595400704875,0.561761654083329,12.1276630641796,12.0491914487381
"260","13","14",0.207329504440185,0.881628379757234,0.0280648143946437,0.0357526114966158,3,0.001071431,3.43e-06,298.2057037,0.223,0.00768779710197212,0.674298875317049,7.83876014083109,13.5829502967864
"261","14","14",0.881628379757234,0.881628379757234,0.0357526114966158,0.0357526114966158,NA,NA,NA,0,NA,0,0,NA,NA
"262","15","14",0.716629491589114,0.881628379757234,-0.648190168600681,0.0357526114966158,13,2.31e-11,7.1e-31,91.99366096,0.224,0.683942780097296,0.16499888816812,25.4911884984008,70.4200430987681
"263","16","14",0.797612827252036,0.881628379757234,0.0633391809484843,0.0357526114966158,2,0.000275823,0.000648422,35.46956056,0.859,-0.0275865694518684,0.0840155525051977,9.19575120231854,8.34096883900531
"264","17","14",1.09724271523061,0.881628379757234,-1.277541640122,0.0357526114966158,NA,0,0,128.6872241,0.132,1.31329425161862,-0.215614335473378,Inf,Inf
"265","18","14",1.12375399839346,0.881628379757234,-0.142965254169432,0.0357526114966158,14,2.31e-11,4.14e-37,110.3714496,0.302,0.178717865666048,-0.242125618636229,25.4911884984008,84.7749526529425
"266","19","14",1.30573879311643,0.881628379757234,-1.76250545731139,0.0357526114966158,20,2.31e-11,4.72e-50,256.6878946,0.179,1.798258068808,-0.424110413359194,25.4911884984008,114.577445850105
"267","1","15",-1.93269390089566,0.716629491589114,1.73209740467106,-0.648190168600681,6,6.06e-06,2.73e-16,1266.942484,0.556,-2.38028757327174,2.64932339248478,13.0138007578831,36.8370598787079
"268","2","15",-1.57127288083401,0.716629491589114,1.16424987627379,-0.648190168600681,6,3.79e-06,4.91e-16,1078.207522,0.593,-1.81244004487447,2.28790237242313,13.4831445388699,36.2500875460983
"269","3","15",-0.81779492222372,0.716629491589114,0.664534928932141,-0.648190168600681,4,0.003118209,3.5e-10,721.2808364,0.498,-1.31272509753282,1.53442441381283,6.77049648044544,22.7730879614451
"270","4","15",-0.498388624975441,0.716629491589114,0.309657056465821,-0.648190168600681,3,0.003985466,6.99e-08,558.8694801,0.741,-0.957847225066502,1.21501811656456,6.52510103505729,17.4762001877066
"271","5","15",-1.47010984875349,0.716629491589114,1.06018359825244,-0.648190168600681,NA,0,0,1023.374097,0.513,-1.70837376685312,2.18673934034261,Inf,Inf
"272","6","15",-0.0842392633495934,0.716629491589114,0.70262472391694,-0.648190168600681,3,0.002930192,6.34e-06,371.5071201,0.428,-1.35081489251762,0.800868754938708,6.83268732908985,12.9686317895151
"273","7","15",-0.20978638087055,0.716629491589114,-0.199564643045108,-0.648190168600681,5,2.14e-06,5.6e-12,424.8964348,0.744,-0.448625525555573,0.926415872459664,14.0547047289305,26.9082545181874
"274","8","15",-0.202425884912012,0.716629491589114,-0.187669473696846,-0.648190168600681,4,2.14e-06,1.69e-11,420.4021271,0.283,-0.460520694903835,0.919055376501126,14.0547047289305,25.8037074939995
"275","9","15",-0.0494297680917916,0.716629491589114,-0.452249945493855,-0.648190168600681,9,3.54e-11,2.22e-19,355.0841651,0.473,-0.195940223106825,0.766059259680906,25.0643092957888,43.9516095710027
"276","10","15",-0.187354795965576,0.716629491589114,-0.175171357435347,-0.648190168600681,5,2.14e-06,2.52e-10,415.4237769,0.528,-0.473018811165334,0.90398428755469,14.0547047289305,23.1015920284171
"277","11","15",0.573693835418848,0.716629491589114,-0.374444859925122,-0.648190168600681,1,0.001849392,0.025,96.05211351,0.279,-0.273745308675559,0.142935656170266,7.29289834255736,4.68887945411394
"278","12","15",0.319866725673905,0.716629491589114,-0.540201395552134,-0.648190168600681,3,1.71e-05,5.62e-05,181.4720849,0.608,-0.107988773048546,0.396762765915209,11.9764320944557,10.7865938010646
"279","13","15",0.207329504440185,0.716629491589114,0.0280648143946437,-0.648190168600681,2,0.003443868,3.21e-05,227.6892595,0.202,-0.676254982995324,0.509299987148929,6.6711600206773,11.3466545278283
"280","14","15",0.881628379757234,0.716629491589114,0.0357526114966158,-0.648190168600681,3,4.37e-07,6.5e-10,91.99366096,0.101,-0.683942780097296,-0.16499888816812,15.6433326418508,22.1540487530389
"281","15","15",0.716629491589114,0.716629491589114,-0.648190168600681,-0.648190168600681,NA,NA,NA,0,NA,0,0,NA,NA
"282","16","15",0.797612827252036,0.716629491589114,0.0633391809484843,-0.648190168600681,1,0.001183102,0.002209891,77.46447665,0.101,-0.711529349549165,-0.0809833356629223,7.73961547623191,7.11481208593578
"283","17","15",1.09724271523061,0.716629491589114,-1.277541640122,-0.648190168600681,NA,0,0,175.6489041,0.174,0.629351471521324,-0.380613223641498,Inf,Inf
"284","18","15",1.12375399839346,0.716629491589114,-0.142965254169432,-0.648190168600681,10,2.31e-11,1.85e-27,202.5658396,0.066,-0.505224914431249,-0.407124506804348,25.4911884984008,62.554611871749
"285","19","15",1.30573879311643,0.716629491589114,-1.76250545731139,-0.648190168600681,16,2.31e-11,2.1e-40,291.9284232,0.405,1.11431528871071,-0.589109301527314,25.4911884984008,92.3614663750324
"286","1","16",-1.93269390089566,0.797612827252036,1.73209740467106,0.0633391809484843,6,6.06e-06,3.82e-16,1282.963587,0.192,-1.66875822372257,2.7303067281477,13.0138007578831,36.5011110652862
"287","2","16",-1.57127288083401,0.797612827252036,1.16424987627379,0.0633391809484843,6,3.79e-06,2.15e-16,1099.497893,0.265,-1.10091069532531,2.36888570808605,13.4831445388699,37.0758936457652
"288","3","16",-0.81779492222372,0.797612827252036,0.664534928932141,0.0633391809484843,4,0.003118209,5.07e-12,742.6773444,0.216,-0.601195747983656,1.61540774947576,6.77049648044544,27.0076802983255
"289","4","16",-0.498388624975441,0.797612827252036,0.309657056465821,0.0633391809484843,3,0.004794334,6.66e-10,587.0828904,0.216,-0.246317875517337,1.29600145222748,6.34032047497546,22.1297314453882
"290","5","16",-1.47010984875349,0.797612827252036,1.06018359825244,0.0633391809484843,NA,0,0,1047.442449,0.235,-0.996844417303952,2.26772267600553,Inf,Inf
"291","6","16",-0.0842392633495934,0.797612827252036,0.70262472391694,0.0633391809484843,3,0.002930192,5.52e-06,402.2075563,0.22,-0.639285542968456,0.88185209060163,6.83268732908985,13.1071326976753
"292","7","16",-0.20978638087055,0.797612827252036,-0.199564643045108,0.0633391809484843,6,2.14e-06,6.8e-14,470.4046797,0.291,0.262903823993592,1.00739920812259,14.0547047289305,31.3192686897346
"293","8","16",-0.202425884912012,0.797612827252036,-0.187669473696846,0.0633391809484843,5,2.14e-06,3.23e-13,466.6719492,0.131,0.25100865464533,1.00003871216405,14.0547047289305,29.761124071688
"294","9","16",-0.0494297680917916,0.797612827252036,-0.452249945493855,0.0633391809484843,10,3.54e-11,2.69e-21,407.0122462,0.31,0.51558912644234,0.847042595343828,25.0643092957888,48.3647457592612
"295","10","16",-0.187354795965576,0.797612827252036,-0.175171357435347,0.0633391809484843,6,2.14e-06,3.06e-12,462.5054919,0.206,0.238510538383831,0.984967623217613,14.0547047289305,27.5126061999643
"296","11","16",0.573693835418848,0.797612827252036,-0.374444859925122,0.0633391809484843,2,0.000941149,0.000809512,98.32721699,0.349,0.437784040873606,0.223918991833189,7.96840908872454,8.11907896099105
"297","12","16",0.319866725673905,0.797612827252036,-0.540201395552134,0.0633391809484843,3,1.47e-05,2.44e-05,228.2073033,0.218,0.603540576500619,0.477746101578132,12.1276630641796,11.6209274256651
"298","13","16",0.207329504440185,0.797612827252036,0.0280648143946437,0.0633391809484843,3,0.00306227,6.52e-05,261.8294936,0.266,0.0352743665538406,0.590283322811851,6.78859880797241,10.6380510890317
"299","14","16",0.881628379757234,0.797612827252036,0.0357526114966158,0.0633391809484843,11,2.31e-11,1.08e-27,35.46956056,0.74,0.0275865694518684,-0.0840155525051977,25.4911884984008,63.0928364697031
"300","15","16",0.716629491589114,0.797612827252036,-0.648190168600681,0.0633391809484843,13,2.31e-11,1.09e-30,77.46447665,0.242,0.711529349549165,0.0809833356629223,25.4911884984008,69.9913750935803
"301","16","16",0.797612827252036,0.797612827252036,0.0633391809484843,0.0633391809484843,NA,NA,NA,0,NA,0,0,NA,NA
"302","17","16",1.09724271523061,0.797612827252036,-1.277541640122,0.0633391809484843,NA,0,0,166.4802179,0.129,1.34088082107049,-0.299629887978576,Inf,Inf
"303","18","16",1.12375399839346,0.797612827252036,-0.142965254169432,0.0633391809484843,14,2.31e-11,6.34e-37,146.9849169,0.279,0.206304435117916,-0.326141171141426,25.4911884984008,84.3487696723306
"304","19","16",1.30573879311643,0.797612827252036,-1.76250545731139,0.0633391809484843,20,2.31e-11,7.22e-50,294.1182695,0.238,1.82584463825987,-0.508125965864392,25.4911884984008,114.152399696798
"305","1","17",-1.93269390089566,1.09724271523061,1.73209740467106,-1.277541640122,6,6.06e-06,8.36e-17,1443.171619,0.132,-3.00963904479306,3.02993661612627,13.0138007578831,38.0204881538022
"306","2","17",-1.57127288083401,1.09724271523061,1.16424987627379,-1.277541640122,7,3.79e-06,2.55e-15,1255.236487,0.158,-2.4417915163958,2.66851559606462,13.4831445388699,34.6026830357403
"307","3","17",-0.81779492222372,1.09724271523061,0.664534928932141,-1.277541640122,4,0.003118209,3.64e-10,898.168775,0.141,-1.94207656905414,1.91503763745433,6.77049648044544,22.7338672482918
"308","4","17",-0.498388624975441,1.09724271523061,0.309657056465821,-1.277541640122,3,0.003995619,1.11e-08,736.1427677,0.172,-1.58719869658783,1.59563134020605,6.52255676808683,19.3163207286281
"309","5","17",-1.47010984875349,1.09724271523061,1.06018359825244,-1.277541640122,NA,0,0,1200.606566,0.13,-2.33772523837444,2.5673525639841,Inf,Inf
"310","6","17",-0.0842392633495934,1.09724271523061,0.70262472391694,-1.277541640122,3,0.002930192,2.2e-05,548.7804238,0.138,-1.98016636403894,1.18148197858021,6.83268732908985,11.724468104606
"311","7","17",-0.20978638087055,1.09724271523061,-0.199564643045108,-1.277541640122,4,2.14e-06,5.17e-11,599.1543375,0.154,-1.0779769970769,1.30702909610116,14.0547047289305,24.6855633344142
"312","8","17",-0.202425884912012,1.09724271523061,-0.187669473696846,-1.277541640122,4,2.14e-06,4.78e-10,594.3626922,0.104,-1.08987216642516,1.29966860014262,14.0547047289305,22.4614103834371
"313","9","17",-0.0494297680917916,1.09724271523061,-0.452249945493855,-1.277541640122,8,3.54e-11,1.01e-18,526.5752555,0.171,-0.825291694628149,1.1466724833224,25.0643092957888,42.4365813430397
"314","10","17",-0.187354795965576,1.09724271523061,-0.175171357435347,-1.277541640122,4,2.14e-06,1.15e-09,589.0063903,0.199,-1.10237028268666,1.28459751119619,14.0547047289305,21.5835038945713
"315","11","17",0.573693835418848,1.09724271523061,-0.374444859925122,-1.277541640122,2,0.002136145,0.000262103,258.7616768,0.097,-0.903096780196883,0.523548879811764,7.14875247629306,9.24677300168745
"316","12","17",0.319866725673905,1.09724271523061,-0.540201395552134,-1.277541640122,3,1.47e-05,0.000100515,357.804582,0.126,-0.73734024456987,0.777375989556708,12.1276630641796,10.205203587871
"317","13","17",0.207329504440185,1.09724271523061,0.0280648143946437,-1.277541640122,1,0.003995619,0.00078996,404.9559668,0.078,-1.30560645451665,0.889913210790427,6.52255676808683,8.14352824669649
"318","14","17",0.881628379757234,1.09724271523061,0.0357526114966158,-1.277541640122,3,0.000492042,8.33e-05,128.6872241,0.051,-1.31329425161862,0.215614335473378,8.61694647926176,10.3930620087915
"319","15","17",0.716629491589114,1.09724271523061,-0.648190168600681,-1.277541640122,12,2.31e-11,1.61e-27,175.6489041,0.188,-0.629351471521324,0.380613223641498,25.4911884984008,62.6935633318429
"320","16","17",0.797612827252036,1.09724271523061,0.0633391809484843,-1.277541640122,2,0.001286139,8.83e-06,166.4802179,0.049,-1.34088082107049,0.299629887978576,7.65611057191594,12.6373555433484
"321","17","17",1.09724271523061,1.09724271523061,-1.277541640122,-1.277541640122,NA,NA,NA,0,NA,0,0,NA,NA
